0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.06,33.16,48.040000000000006,61.2,73.84,86.06,96.16000000000001,105.46000000000001,114.62,121.82,112.0,102.38,93.54,85.42000000000002,77.75999999999999,70.08,63.879999999999995,58.58000000000001,52.84,48.84000000000001,44.17999999999999,39.96,36.26,33.14,29.759999999999998,26.78,24.42,21.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.14,104.30000000000001,134.16000000000003,154.84,169.57999999999998,178.98000000000002,185.06,189.22000000000003,192.54000000000002,194.88,136.3,93.36,64.42,44.260000000000005,29.78,20.560000000000002,14.64,10.56,7.279999999999999,5.02,3.46,2.2600000000000002,1.3800000000000001,0.8800000000000001,0.6200000000000001,0.44000000000000006,0.28,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.68,41.480000000000004,58.940000000000005,75.16,90.1,102.30000000000001,113.97999999999999,123.32,132.1,139.92,124.96,111.20000000000002,99.52,88.41999999999999,77.82000000000001,69.36000000000001,60.760000000000005,54.260000000000005,47.940000000000005,42.06,37.480000000000004,32.88,28.54,24.76,21.64,19.019999999999996,17.0,15.120000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.22,99.97999999999999,129.57999999999998,150.38,165.54,175.95999999999998,182.54,187.26,190.79999999999998,193.51999999999998,138.2,96.78,68.34,48.260000000000005,33.56,23.4,17.0,12.440000000000001,8.98,6.28,4.46,3.1399999999999997,2.0,1.3,0.8799999999999999,0.6199999999999999,0.43999999999999995,0.27999999999999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.36,31.9,46.24,59.08,71.53999999999999,83.18,93.64000000000001,102.68,111.34000000000002,118.76,109.82000000000001,100.58000000000001,92.06,84.9,77.04,69.7,63.720000000000006,58.64,53.400000000000006,49.400000000000006,44.839999999999996,41.04,37.400000000000006,33.96,31.12,28.44,25.36,22.980000000000004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.74,77.22,104.64000000000001,125.94,142.42000000000002,155.20000000000002,165.46,173.3,179.18,183.36,143.88,112.14,86.96,67.54,52.480000000000004,40.94,31.54,24.38,19.18,15.54,12.48,9.92,7.84,6.08,4.74,3.6,2.7800000000000002,2.12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.22,47.7,67.52,85.38,100.42,114.17999999999999,125.12,134.82,143.71999999999997,151.04000000000002,132.5,115.97999999999999,101.14000000000001,87.32000000000001,75.98,65.28,56.7,49.36,42.24,36.5,31.18,26.62,23.0,20.08,17.38,15.12,13.38,11.82
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.28,59.66,83.84,103.58,119.7,133.4,144.74,154.06,162.44,168.94000000000003,142.06,118.88000000000002,97.96000000000001,81.14000000000001,67.14,55.34,45.900000000000006,38.18000000000001,31.14,25.700000000000003,21.2,17.740000000000002,15.22,12.84,11.22,9.8,8.22,6.800000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.16,126.82,156.14,174.08,183.92000000000002,189.74,193.85999999999999,196.26,197.92,198.98,121.18,72.78,43.64,25.740000000000002,15.98,10.18,6.1,3.72,2.06,1.0,0.66,0.4,0.22,0.18,0.1,0.08,0.04,0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.56,30.08,43.94,56.5,68.38,79.48,89.98,98.74,106.78,115.08,106.1,98.3,90.3,83.13999999999999,76.35999999999999,69.67999999999999,63.36,58.76,54.379999999999995,49.4,46.14,42.18,38.56,35.46,32.3,29.880000000000003,27.26,24.46
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.84,81.0,109.0,130.04000000000002,146.38,159.08,169.12,176.34,181.54,185.4,143.52,109.94,84.12,64.66,49.7,37.92,28.56,22.14,17.36,13.719999999999999,10.98,8.540000000000001,6.48,5.0,3.7,2.7800000000000002,2.16,1.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.980000000000004,83.02000000000001,111.14,132.22000000000003,148.44,161.12,170.92000000000002,177.74,182.56,186.44,143.38,108.8,82.74000000000001,62.98,47.98,36.32000000000001,27.200000000000003,20.92,16.48,12.840000000000002,10.080000000000002,7.74,5.78,4.5600000000000005,3.3600000000000003,2.3800000000000003,1.7600000000000002,1.24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44,80.53999999999999,108.18,129.38,145.76,158.54,168.5,175.74,181.18,185.12,143.74,110.16000000000001,84.68,65.18,50.120000000000005,38.18,29.080000000000005,22.540000000000003,17.68,13.98,11.1,8.74,6.74,5.14,3.9,3.06,2.24,1.58
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.26,191.0,198.51999999999998,199.72,199.92,199.98,200.0,200.0,200.0,200.0,40.74,9.0,1.48,0.28,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.1,105.16,135.24,155.8,170.42000000000002,179.6,185.42000000000002,189.64000000000001,192.84,195.04,135.54000000000002,92.67999999999999,63.42,43.32,29.0,20.0,14.3,10.14,7.000000000000001,4.859999999999999,3.2800000000000002,2.1,1.32,0.8600000000000001,0.56,0.38,0.26,0.22
